Jurisdiction,Document Count
"United States",1950110
"European Patents",637957
"WO - WIPO",531291
"China",336573
"Japan",174852
"United Kingdom",79436
"Canada",57751
"Korea, Republic of",42506
"Taiwan",25741
"Spain",24704
"Russia",19177
"Germany",13019
"Australia",11409
"Mexico",8229
"France",5547
"Malaysia",3859
"New Zealand",3516
"Ukraine",2850
"Eurasian Patents",2462
"Czech Republic",1671
"Soviet Union",1468
"Poland",1438
"Singapore",1338
"South Africa",1278
"Bulgaria",1244
"Switzerland",1197
"Israel",1058
"Slovakia",975
"India",972
"Hungary",921
"Netherlands",742
"Italy",665
"Philippines",638
"Romania",624
"Czechoslovakia",571
"Moldova",394
"Denmark",390
"Finland",351
"Portugal",339
"Yugoslavia/Serbia and Montenegro",335
"Saudi Arabia",321
"Ireland",302
"Greece",274
"ARIPO Patents",266
"Sweden",263
"Austria",250
"Belgium",242
"Hong Kong",232
"Georgia",227
"Jordan",210
"Slovenia",170
"Tunisia",155
"Serbia",133
"Lithuania",124
"Latvia",95
"Luxembourg",92
"Croatia",85
"Egypt",82
"Norway",80
"Brazil",34
"Argentina",33
"Turkey",21
"Costa Rica",20
"Zambia",15
"GCC Patents",9
"OAPI Patents",9
"Zimbabwe",7
"Chile",5
"Iceland",5
"Monaco",4
"Malawi",4
"Estonia",3
"Colombia",2
"Cuba",2
"Cyprus",2
"Algeria",1
"Ecuador",1
"Kenya",1
"Montenegro",1
"Mongolia",1
"Peru",1
"Viet Nam",1