Lat,Lon,Title,Partner,Partner ohne Markdown,Website,Straße,PLZ,Ort,Land,Partner aus…,Beteiligt in…,Funktion als…,Webadresse,Column 1,lat,lon,LAT,LON,Mehrere Partner
49.48929129999999,8.4673098,,[ABB AG](https://www.abb.de/),ABB AG,https://www.abb.de/,Kallstadter Str. 1,68309,Mannheim,Baden-Württemberg,Wirtschaft,FertiRob,Partner,www.abb.de,,49.48929129999999,8.4673098,,,
51.5646195,7.3106175,,[Advanced Training Technologies GmbH](https://https://sk-att.com/),Advanced Training Technologies GmbH,https://sk-att.com/,Am Förderturm 5 c,44575,Castrop-Rauxel,Nordrhein-Westfalen,Wirtschaft,HyPLANT100,Partner,sk-att.com,,51.5646195,7.3106175,,,
48.2592477,11.4354419,,[Alantum Europe GmbH](https://www.alantum.com/),Alantum Europe GmbH,https://www.alantum.com/,Balanstr. 73 / Geb. 21A,81541,München,Bayern,Wirtschaft,AEL4GW,Partner,www.alantum.com,,48.2592477,11.4354419,,,
47.9651461,7.9573306,,[Albert-Ludwigs-Universität Freiburg](https://www.uni-freiburg.de/),Albert-Ludwigs-Universität Freiburg,https://www.uni-freiburg.de/,Georges-Köhler-Allee 103,79110,Freiburg im Breisgau,Baden-Württemberg,Wissenschaft,Fluorfreie MEA,Partner,www.uni-freiburg.de,,47.9651461,7.9573306,,,
48.7630165,11.4250395,,[AUDI Aktiengesellschaft](https://www.audi.de/),AUDI Aktiengesellschaft,https://www.audi.de/,Auto-Union-Str. 1,85057,Ingolstadt,Bayern,Wirtschaft,PEP.IN,Partner,www.audi.de,,48.7630165,11.4250395,,,
48.1371079,11.5753822,,[AUTOMATION W + R GmbH](https://www.automationwr.de/),AUTOMATION W + R GmbH,https://www.automationwr.de/,Messerschmittstr. 7,80992,München,Bayern,Wirtschaft,FertiRob,Partner,www.automationwr.de,,48.1371079,11.5753822,,,
49.1774768,9.4384654,,[Autoproc GmbH & Co. KG](https://www.autoproc.de/),Autoproc GmbH & Co. KG,https://www.autoproc.de/,Ringstr. 43,74626,Bretzfeld,Baden-Württemberg,Wirtschaft,FertiRob,Partner,www.autoproc.de,,49.1774768,9.4384654,,,
53.0758196,8.8071646,,BIAS - Bremer Institut für angewandte Strahltechnik GmbH,BIAS - Bremer Institut für angewandte Strahltechnik GmbH,https://www.bias.de,Klagenfurter Str. 5,28359,Bremen,Bremen,Wissenschaft,INSTALL-AWE,Partner,www.bias.de,,53.0758196,8.8071646,,,
49.8738515,9.1688433,,[Boll Automation GmbH](https://www.bollautomation.de/),Boll Automation GmbH,https://www.bollautomation.de/,Industriestr. 6,63839,Kleinwallstadt,Bayern,Wirtschaft,FertiRob,Partner,www.bollautomation.de,,49.8738515,9.1688433,,,
54.3227085,10.135555,,[Christian-Albrechts-Universität zu Kiel - Institut für Anorganische Chemie](https://www.uni-kiel.de/),Christian-Albrechts-Universität zu Kiel - Institut für Anorganische Chemie,https://www.uni-kiel.de/,Max-Eyth-Str. 2,24118,Kiel,Schleswig-Holstein,Wissenschaft,PrometH2eus,Partner,www.uni-kiel.de,,54.3227085,10.135555,,,
50.9540035,13.3503293,,[DBI - Gastechnologisches Institut gGmbH Freiberg](https://www.dbi-gti.de/),DBI - Gastechnologisches Institut gGmbH Freiberg,https://www.dbi-gti.de/,Halsbrücker Str. 34,9599,Freiberg,Sachsen,Wissenschaft,TP Elektrolyse,Partner,www.dbi-gti.de,,50.9540035,13.3503293,,,
51.3406321,12.3747329,,[DBI Gas- und Umwelttechnik GmbH](https://www.dbi-gruppe.de/),DBI Gas- und Umwelttechnik GmbH,https://www.dbi-gruppe.de/,Karl-Heine-Str. 109/111,4229,Leipzig,Sachsen,Wirtschaft,HTEL-Module,Partner,www.dbi-gruppe.de,,51.3406321,12.3747329,,,
50.14279620000001,9.0464884,,De Nora Deutschland GmbH,De Nora Deutschland GmbH,https://www.denora.com,Industriestr. 17,63517,Rodenbach,Hessen,Wirtschaft,"INSTALL-AWE, PrometH2eus",Partner,www.denora.com,,50.14279620000001,9.0464884,,,
50.011974,8.7123912,,[DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V. und DECHEMA Forschungsinstitut](https://www.dechema.de/),DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V. und DECHEMA Forschungsinstitut,https://www.dechema.de/,Theodor-Heuss-Allee 25,60486,Frankfurt am Main,Hessen,Wissenschaft,"TP Elektrolyse, Degrad-EL3, FluCoM, HTEL-Module, ReNaRe",Koordinator und Partner,www.dechema.de,,50.011974,8.7123912,,,
53.0654681,8.1945038,,[Deutsches Zentrum für Luft- und Raumfahrt e. V. - Institut für Vernetzte Energiesysteme](https://www.dlr.de/),Deutsches Zentrum für Luft- und Raumfahrt e. V. - Institut für Vernetzte Energiesysteme,https://www.dlr.de/,Carl-von-Ossietzky-Str. 15,26129,Oldenburg,Niedersachsen,Wissenschaft,SYSTOGEN100,Partner,www.dlr.de,,53.0654681,8.1945038,,,
48.778448499999996,9.1800132,,[Deutsches Zentrum für Luft- und Raumfahrt e. V. - Institut für Technische Thermodynamik](https://www.dlr.de/),Deutsches Zentrum für Luft- und Raumfahrt e. V. - Institut für Technische Thermodynamik,https://www.dlr.de/,Pfaffenwaldring 38-40,70569,Stuttgart,Baden-Württemberg,Wissenschaft,"Degrad-EL3, eModule, HTEL-Stacks, AEL4GW",Partner,www.dlr.de,,48.778448499999996,9.1800132,,,
49.053290600000004,8.5245089,,[EIfER Europäisches Institut für Energieforschung EDF-KIT EWIV](https://www.eifer.kit.edu/),EIfER Europäisches Institut für Energieforschung EDF-KIT EWIV,https://www.eifer.kit.edu/,Emmy-Noether-Str. 11,76131,Karlsruhe,Baden-Württemberg,Wissenschaft,"Degrad-EL3, HTEL-Stacks",Partner,www.eifer.kit.edu,,49.053290600000004,8.5245089,,,
47.8075299,9.6431145,,[EKS InTec GmbH](https://www.eks-intec.de/),EKS InTec GmbH,https://www.eks-intec.de/,Danziger Str. 3,88250,Weingarten,Baden-Württemberg,Wirtschaft,FertiRob,Partner,www.eks-intec.de,,47.8075299,9.6431145,,,
52.616371400000006,13.4855946,,[Enapter GmbH](https://www.enapter.com/),Enapter GmbH,https://www.enapter.com/,Reinhardtstr. 35,10117,Berlin,Berlin,Wirtschaft,HY-Core,Koordinator,www.enapter.com,,52.616371400000006,13.4855946,,,
54.15064350000001,9.08263,,[Entwicklungsagentur Region Heide AöR](https://www.region-heide.de/),Entwicklungsagentur Region Heide AöR,https://www.region-heide.de/,Hamburger Hof 3,25746,Heide,Schleswig-Holstein,Wirtschaft,"HyPLANT100, SYSTOGEN100",Koordinator und Partner,www.region-heide.de,,54.15064350000001,9.08263,,,
49.1708959,8.6415885,,ESSERT GmbH,ESSERT GmbH,https://www.essert.com/,Großer Sand 18,76698,Ubstadt-Weiher,Baden-Württemberg,Wirtschaft,FertiRob,Partner,www.essert.com,,49.1708959,8.6415885,,,
54.1722571,9.1797518,,[Fachhochschule Westküste - Hochschule für Wirtschaft und Technik](https://www.fh-westkueste.de/),Fachhochschule Westküste - Hochschule für Wirtschaft und Technik,https://www.fh-westkueste.de/,Fritz-Thiedemann-Ring 20,25746,Heide,Schleswig-Holstein,Wissenschaft,SYSTOGEN100,Partner,www.fh-westkueste.de,,54.1722571,9.1797518,,,
51.9302951,10.342968,,[Fest GmbH](https://www.fest-group.de/),Fest GmbH,https://www.fest-group.de/,Harzburger Str. 14,38642,Goslar,Niedersachsen,Wirtschaft,HyPLANT100,Partner,www.fest-group.de,,51.9302951,10.342968,,,
50.5542328,9.6770448,,[FFT Produktionssysteme GmbH & Co. KG](https://www.fft.de/),FFT Produktionssysteme GmbH & Co. KG,https://www.fft.de/,Schleyerstr. 1,36041,Fulda,Hessen,Wirtschaft,FertiRob,Partner,www.fft.de,,50.5542328,9.6770448,,,
52.1294289,7.3903454,,[FH Münster](https://www.fh-muenster.de/),FH Münster,https://www.fh-muenster.de/,Stegerwaldstr. 39,48565,Steinfurt,Nordrhein-Westfalen,Wissenschaft,HY-Core,Partner,www.fh-muenster.de,,52.1294289,7.3903454,,,
48.8425793,9.3305129,,[Fichtner IT Consulting GmbH](https://www.fit.fichtner.de/),Fichtner IT Consulting GmbH,https://www.fit.fichtner.de/,Sarweystr. 3,70191,Stuttgart,Baden-Württemberg,Wirtschaft,SYSTOGEN100,Partner,www.fit.fichtner.de,,48.8425793,9.3305129,,,
50.776351,6.083862,,[Forschungsinstitut für Rationalisierung e. V.](https://www.fir.rwth-aachen.de/),Forschungsinstitut für Rationalisierung e. V.,https://www.fir.rwth-aachen.de/,Campus-Boulevard 55,52074,Aachen,Nordrhein-Westfalen,Wissenschaft,SEGIWA,Partner,www.fir.rwth-aachen.de,,50.776351,6.083862,,,
50.922093100000005,6.3611015,,[Forschungszentrum Jülich GmbH - Helmholtz-Institut Erlangen-Nürnberg für Erneuerbare Energien (IEK 11)](https://www.fz-juelich.de/),Forschungszentrum Jülich GmbH - Helmholtz-Institut Erlangen-Nürnberg für Erneuerbare Energien (IEK 11),https://www.fz-juelich.de/,Wilhelm-Johnen-Str.,52428,Jülich,Nordrhein-Westfalen,Wissenschaft,"PEP.IN, SEGIWA, DERIEL, ReNaRe",Partner,www.fz-juelich.de,,50.922093100000005,6.3611015,,,
49.5978157,11.0038064,,[Forschungszentrum Jülich GmbH](https://www.fz-juelich.de/),Forschungszentrum Jülich GmbH,https://www.fz-juelich.de/,Egerlandstr. 3,91058,Erlangen,Bayern,Wissenschaft,"HyThroughGen, StacIE",Koordinator und Partner,www.fz-juelich.de,,49.5978157,11.0038064,,,
50.89591420000001,14.8064417,,[Fraunhofer-Einrichtung für Energieinfrastrukturen und Geothermie IEG](www.ieg.fraunhofer.de),Fraunhofer-Einrichtung für Energieinfrastrukturen und Geothermie IEG,https://www.ieg.fraunhofer.de/,Schwenninger Weg 1,2763,Zittau,Sachsen,Wissenschaft,IntegrH2ate,Partner,www.ieg.fraunhofer.de,,50.89591420000001,14.8064417,,,
51.3154546,9.4924096,,[Fraunhofer-Institut für Energiewirtschaft und Energiesystemtechnik (IEE)](https://www.iee.fraunhofer.de/),Fraunhofer-Institut für Energiewirtschaft und Energiesystemtechnik (IEE),https://www.iee.fraunhofer.de/,Königstor 59,34119,Kassel,Hessen,Wissenschaft,HyLeiT,Koordinator,www.fraunhofer.de,,51.3154546,9.4924096,,,
52.1315889,11.6399609,,[Fraunhofer-Institut für Fabrikbetrieb und -automatisierung (IFF)](https://www.iff.fraunhofer.de/),Fraunhofer-Institut für Fabrikbetrieb und -automatisierung (IFF),https://www.iff.fraunhofer.de/,Sandtorstr. 22,39106,Magdeburg,Sachsen-Anhalt,Wissenschaft,AEL4GW,Partner,www.fraunhofer.de,,52.1315889,11.6399609,,,
51.1462598,13.7986098,,[Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung (IFAM) und Fraunhofer-Institut für Keramische Technologien und Systeme (IKTS)](https://www.ikts.fraunhofer.de/),Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung (IFAM) und Fraunhofer-Institut für Keramische Technologien und Systeme (IKTS),https://www.ikts.fraunhofer.de/,Winterbergstr. 28,1217,Dresden,Sachsen,Wissenschaft,"AEL4GW, HTEL-Stacks",Partner,www.fraunhofer.de,,51.1462598,13.7986098,,,
51.4825041,11.9705452,,[Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen (IMWS)](https://www.imws.fraunhofer.de/),Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen (IMWS),https://www.imws.fraunhofer.de/,Walter-Hülse-Str. 1,6120,Halle (Saale),Sachsen-Anhalt,Wissenschaft,"FRHY, StacIE",Partner,www.fraunhofer.de,,51.4825041,11.9705452,,,
48.8611498,9.1873875,,[Fraunhofer-Institut für Produktionstechnik und Automatisierung (IPA)](https://www.ipa.fraunhofer.de/),Fraunhofer-Institut für Produktionstechnik und Automatisierung (IPA),https://www.ipa.fraunhofer.de/,Nobelstr. 12,70569,Stuttgart,Baden-Württemberg,Wissenschaft,"Degrad-EL3, ReNaRe, FRHY, PEP.IN, IREKA",Partner,www.fraunhofer.de,,48.8611498,9.1873875,,,
50.8771537,6.1620774,,[Fraunhofer-Institut für Produktionstechnologie (IPT)](https://www.ipt.fraunhofer.de/),Fraunhofer-Institut für Produktionstechnologie (IPT),https://www.ipt.fraunhofer.de/,Steinbachstr. 17,52074,Aachen,Nordrhein-Westfalen,Wissenschaft,FRHY,Partner,www.fraunhofer.de,,50.8771537,6.1620774,,,
48.1206565,7.850993,,[Fraunhofer-Institut für Solare Energiesysteme (ISE)](https://www.ise.fraunhofer.de//),Fraunhofer-Institut für Solare Energiesysteme (ISE),https://www.ise.fraunhofer.de/,Heidenhofstr. 2,79110,Freiburg im Breisgau,Baden-Württemberg,Wissenschaft,"HyThroughGen, PEP.IN, StacIE",Partner,www.fraunhofer.de,,48.1206565,7.850993,,,
51.597522399999995,6.6811994,,"[Fraunhofer-Institut für Umwelt-, Sicherheits- und Energietechnik (UMSICHT)](https://www.umsicht.fraunhofer.de/)","Fraunhofer-Institut für Umwelt-, Sicherheits- und Energietechnik (UMSICHT)",https://www.umsicht.fraunhofer.de/,Osterfelder Str. 3,46047,Oberhausen,Nordrhein-Westfalen,Wissenschaft,PEP.IN,Partner,www.fraunhofer.de,,51.597522399999995,6.6811994,,,
50.7602495,13.0283232,,[Fraunhofer-Institut für Werkzeugmaschinen und Umformtechnik (IWU) und Fraunhofer-Institut für Elektronische Nanosysteme (ENAS)](https://www.enas.fraunhofer.de/),Fraunhofer-Institut für Werkzeugmaschinen und Umformtechnik (IWU) und Fraunhofer-Institut für Elektronische Nanosysteme (ENAS),https://www.enas.fraunhofer.de/,Technologie-Campus 3,9112,Chemnitz,Sachsen,Wissenschaft,FRHY,Koordinator und Partner,www.fraunhofer.de,,50.7602495,13.0283232,,,
50.0428901,11.6678287,,Frenzelit Werke GmbH,Frenzelit Werke GmbH,https://www.frenzelit.com,,,,,,,,,,50.0428901,11.6678287,,,
,Frankenhammer,95460.0,Bad Berneck i. Fichtelgebirge,Bayern,Wirtschaft,AEL4GW,Partner,www.frenzelit.com,,,,,,,,Frankenhammer,,,
48.9502631,9.1383314,,[FUMATECH BWT GmbH](https://www.fumatech.com/),FUMATECH BWT GmbH,https://www.fumatech.com/,Carl-Benz-Str. 4,74321,Bietigheim-Bissingen,Baden-Württemberg,Wirtschaft,"StacIE, Fluorfreie MEA, SEGIWA",Partner,www.fumatech.com,,48.9502631,9.1383314,,,
48.424815100000004,10.8778564,,[H-TEC SYSTEMS GmbH](https://www.h-tec.com/),H-TEC SYSTEMS GmbH,https://www.h-tec.com/,Am Mittleren Moos 46,86167,Augsburg,Bayern,Wirtschaft,PEP.IN,Partner,www.h-tec.com,,48.424815100000004,10.8778564,,,
53.7371069,14.0458887,,[HAFF-Dichtungen GmbH](https://www.haff-dichtungen.de/),HAFF-Dichtungen GmbH,https://www.haff-dichtungen.de/,Ziegeleistr. 3,17373,Ueckermünde,Mecklenburg-Vorpommern,Wirtschaft,AEL4GW,Partner,www.haff-dichtungen.de,,53.7371069,14.0458887,,,
47.911828799999995,7.7033313,,[Hahn-Schickard-Gesellschaft für angewandte Forschung e. V.](https://www.hahn-schickard.de/),Hahn-Schickard-Gesellschaft für angewandte Forschung e. V.,https://www.hahn-schickard.de/,Georges-Köhler-Allee 103,79110,Freiburg im Breisgau,Baden-Württemberg,Wissenschaft,"Fluorfreie MEA, SEGIWA",Koordinator,www.hahn-schickard.de,,47.911828799999995,7.7033313,,,
51.1297475,13.8392137,,[Helmholtz-Zentrum Dresden - Rossendorf e. V.](https://www.hzdr.de/),Helmholtz-Zentrum Dresden - Rossendorf e. V.,https://www.hzdr.de/,Bautzner Landstr. 400,1328,Dresden,Sachsen,Wissenschaft,SINEWAVE,Partner,www.hzdr.de,,51.1297475,13.8392137,,,
50.8974968,13.2539626,,[Helmholtz-Zentrum Dresden - Rossendorf e. V.](https://www.hzdr.de/),Helmholtz-Zentrum Dresden - Rossendorf e. V.,https://www.hzdr.de/,Chemnitzer Str. 40,9599,Freiberg,Sachsen,Wissenschaft,ReNaRe,Partner,www.hzdr.de,,50.8974968,13.2539626,,,
53.569230299999994,10.1007321,,[Helmut-Schmidt-Universität](https://www.hsu-hh.de/),Helmut-Schmidt-Universität,https://www.hsu-hh.de/,Holstenhofweg 85,22043,Hamburg,Hamburg,Wissenschaft,eModule,Koordinator,www.hsu-hh.de,,53.569230299999994,10.1007321,,,
50.1799501,8.9230068,,[Heraeus Deutschland GmbH & Co. KG](https://www.heraeus.com/),Heraeus Deutschland GmbH & Co. KG,https://www.heraeus.com/,Heraeusstr. 12-14,63450,Hanau,Hessen,Wirtschaft,"StacIE, ReNaRe, SEGIWA, DERIEL",Partner,www.heraeus.com,,50.1799501,8.9230068,,,
47.659216,9.1750718,,[Hexis GmbH](https://www.hexis.com/),Hexis GmbH,https://www.hexis.com/,Schulthaißstr. 15,78462,Konstanz,Baden-Württemberg,Wirtschaft,ReNaRe,Partner,www.hexis.com,,47.659216,9.1750718,,,
50.7752776,7.1895507,,[Hochschule Bonn-Rhein-Sieg](https://www.h-brs.de/),Hochschule Bonn-Rhein-Sieg,https://www.h-brs.de/,Grantham-Allee 20,53757,Sankt Augustin,Nordrhein-Westfalen,Wissenschaft,HyLeiT,Partner,www.h-brs.de,,50.7752776,7.1895507,,,
51.5017981,6.547923,,[Hochschule Rhein-Waal](https://www.hochschule-rhein-waal.de/),Hochschule Rhein-Waal,https://www.hochschule-rhein-waal.de/,Friedrich-Heinrich-Allee 25,47475,Kamp-Lintfort,Nordrhein-Westfalen,Wissenschaft,StaR,Partner,www.hochschule-rhein-waal.de,,51.5017981,6.547923,,,
53.661550600000005,9.7968682,,Hoedtke GmbH & Co. KG,Hoedtke GmbH & Co. KG,https://hoedtke.de/,Industriestr. 2-6,25421,Pinneberg,Schleswig-Holstein,Wirtschaft,INSTALL-AWE,Partner,hoedtke.de,,53.661550600000005,9.7968682,,,
53.89098320000001,11.4647932,,[Hoeller Electrolyzer GmbH](https://www.hoeller-electrolyzer.com/),Hoeller Electrolyzer GmbH,https://www.hoeller-electrolyzer.com/,Alter Holzhafen 17 b,23966,Wismar,Mecklenburg-Vorpommern,Wirtschaft,HyPLANT100,Partner,www.hoeller-electrolyzer.com,,53.89098320000001,11.4647932,,,
54.2344231,9.0895911,,[HYPION GmbH](https://www.hypion.eu/),HYPION GmbH,https://www.hypion.eu/,Hamburger Hof 3,25746,Heide,Schleswig-Holstein,Wirtschaft,HyPLANT100,Partner,www.hypion.eu,,54.2344231,9.0895911,,,
51.283125399999996,7.7830374,,[IBG Automation GmbH](https://www.goeke-group.com/),IBG Automation GmbH,https://www.goeke-group.com/,Osemundstr. 14-22,58809,Neuenrade,Nordrhein-Westfalen,Wirtschaft,FertiRob,Partner,www.goeke-group.com,,51.283125399999996,7.7830374,,,
53.9119196,10.8023569,,[IBG Technology Hansestadt Lübeck GmbH](https://www.goeke-group.com/),IBG Technology Hansestadt Lübeck GmbH,https://www.goeke-group.com/,An der Dänischburg 25,23569,Lübeck,Schleswig-Holstein,Wirtschaft,HyPLANT100,Partner,www.goeke-group.com,,53.9119196,10.8023569,,,
48.0769935,11.6615136,,[Infineon Technologies AG F OP RD FO](https://www.infineon.com/),Infineon Technologies AG F OP RD FO,https://www.infineon.com/,Am Campeon 1-15,85579,Neubiberg,Bayern,Wirtschaft,HyLeiT,Partner,www.infineon.com,,48.0769935,11.6615136,,,
52.438610499999996,13.2391057,,[inpro Innovationsgesellschaft für fortgeschrittene Produktionssysteme in der Fahrzeugindustrie mbH](https://www.inpro.de/),inpro Innovationsgesellschaft für fortgeschrittene Produktionssysteme in der Fahrzeugindustrie mbH,https://www.inpro.de/,Steinplatz 2,10623,Berlin,Berlin,Wirtschaft,FertiRob,Partner,www.inpro.de,,52.438610499999996,13.2391057,,,
49.830988700000006,8.745123,,[ISRA VISION AG](https://www.isravision.com/),ISRA VISION AG,https://www.isravision.com/,Industriestr. 14,64297,Darmstadt,Hessen,Wirtschaft,FertiRob,Partner,www.isravision.com,,49.830988700000006,8.745123,,,
50.9797836,14.1111221,,[ITM Linde Electrolysis GmbH und Linde GmbH](https://www.linde.com/),ITM Linde Electrolysis GmbH und Linde GmbH,https://www.linde.com/,Bodenbacher Str. 80,1277,Dresden,Sachsen,Wirtschaft,SINEWAVE,Partner,www.linde.com,,50.9797836,14.1111221,,,
50.4696168,8.9171014,,ITM Power Service GmbH,ITM Power Service GmbH,https://itm-power.com/,Am Mühlgraben 6,35410,Hungen,Hessen,Wirtschaft,SINEWAVE,Partner,itm-power.com,,50.4696168,8.9171014,,,
48.4442267,8.5134354,,[J.Schmalz GmbH](https://www.schmalz.com/),J.Schmalz GmbH,https://www.schmalz.com/,Johannes-Schmalz-Str. 1,72293,Glatten,Baden-Württemberg,Wirtschaft,FertiRob,Partner,www.schmalz.com,,48.4442267,8.5134354,,,
48.9397149,8.40427,,[Karlsruher Institut für Technologie (KIT)](https://www.kit.edu/),Karlsruher Institut für Technologie (KIT),https://www.kit.edu/,Adenauerring 20 b,76131,Karlsruhe,Baden-Württemberg,Wissenschaft,"FertiRob, HTEL-Stacks, ReNaRe, StacIE",Partner,www.kit.edu,,48.9397149,8.40427,,,
50.5544687,6.2407954,,[KCS Europe GmbH](https://www.kcs-europe.com/),KCS Europe GmbH,https://www.kcs-europe.com/,Am Handwerkerzentrum 6,52156,Monschau,Nordrhein-Westfalen,Wirtschaft,"AlFaKat, StacIE",Partner,www.kcs-europe.com,,50.5544687,6.2407954,,,
48.00010379999999,11.3508972,,[keep it green gmbh](https://www.keep-it-green.de/),keep it green gmbh,https://www.keep-it-green.de/,Münchner Str. 19 a,82319,Starnberg,Bayern,Wirtschaft,TP Elektrolyse,Partner,www.keep-it-green.de,,48.00010379999999,11.3508972,,,
49.7531092,11.8294634,,[KERAFOL Keramische Folien GmbH & Co. KG](https://www.kerafol.com/),KERAFOL Keramische Folien GmbH & Co. KG,https://www.kerafol.com/,Koppe-Platz 1,92676,Eschenbach i.d.OPf.,Bayern,Wirtschaft,HTEL-Stacks,Partner,www.kerafol.com,,49.7531092,11.8294634,,,
50.8502095,13.7766767,,[Kontron AIS GmbH](https://www.ais-automation.com/),Kontron AIS GmbH,https://www.ais-automation.com/,Otto-Mohr-Str. 6,1279,Dresden,Sachsen,Wirtschaft,HTEL-Module,Partner,www.ais-automation.com,,50.8502095,13.7766767,,,
